Bait	Prey	MiST score
CA	O95573	0.00000
CA	O95602	0.00000
CA	O95678	0.00000
CA	O95685	0.00000
CA	O95714	0.00000
CA	O95716	0.00000
CA	O95718	0.00000
CA	O95757	0.00000
CA	O95758	0.00000
CA	O95766	0.00000
CA	O95793	0.00000
CA	O95816	0.00000
CA	O95819	0.00000
CA	O95831	0.00000
CA	O95864	0.00000
CA	O95873	0.00000
CA	O96000	0.00000
CA	O96005	0.00000
CA	O96008	0.00000
CA	O96028	0.00000
CA	P00338	0.00000
CA	P00403	0.00000
CA	P00846	0.00000
CA	P00995	0.00000
CA	P01100	0.00000
CA	P01605	0.00000
CA	P01625	0.00000
CA	P01857	0.00000
CA	P01859	0.00000
CA	P01889	0.00000
CA	P01891	0.00000
CA	P01892	0.00000
CA	P01893	0.00000
CA	P02042	0.00000
CA	P02533	0.00000
CA	P02675	0.00000
CA	P02679	0.00000
CA	P02765	0.00000
CA	P02768	0.00000
CA	P02786	0.00000
CA	P02788	0.00000
CA	P02794	0.00000
CA	P04156	0.00000
CA	P04181	0.00000
CA	P04222	0.00000
CA	P04259	0.00000
CA	P04275	0.00000
CA	P04406	0.00000
CA	P04439	0.00000
CA	P04626	0.00000
CA	P04637	0.00000
CA	P04843	0.00000
CA	P04844	0.00000
CA	P04899	0.00000
CA	P04908	0.00000
CA	P05023	0.00000
CA	P05026	0.00000
CA	P05067	0.00000
CA	P05109	0.00000
CA	P05141	0.00000
CA	P05198	0.00000
CA	P05386	0.00000
CA	P05387	0.00000
CA	P05388	0.00000
CA	P05423	0.00000
CA	P05455	0.00000
CA	P05534	0.00000
CA	P05556	0.00000
CA	P05783	0.00000
CA	P05787	0.00000
CA	P06493	0.00000
CA	P06576	0.00000
CA	P06702	0.00000
CA	P06733	0.00000
CA	P06748	0.00000
CA	P06899	0.00000
CA	P07196	0.00000
CA	P07237	0.00000
CA	P07305	0.00000
CA	P07333	0.00000
CA	P07437	0.00000
CA	P07477	0.00000
CA	P07900	0.00000
CA	P07910	0.00000
CA	P07919	0.00000
CA	P08047	0.00000
CA	P08048	0.00000
CA	P08195	0.00000
CA	P08237	0.00000
CA	P08238	0.00000
CA	P08311	0.00000
CA	P08559	0.00000
CA	P08572	0.00000
CA	P08574	0.00000
CA	P08579	0.00000
CA	P08621	0.00000
CA	P08670	0.00000
CA	P08708	0.00000
CA	P08727	0.00000
CA	P08729	0.00000
CA	P08779	0.00000
CA	P08865	0.00000
CA	P09001	0.00000
CA	P09012	0.00000
CA	P09234	0.00000
CA	P09493	0.00000
CA	P09543	0.00000
CA	P09661	0.00000
CA	P09669	0.00000
CA	P09874	0.00000
CA	P0C0S8	0.00000
CA	P10314	0.00000
CA	P10316	0.00000
CA	P10319	0.00000
CA	P10321	0.00000
CA	P10589	0.00000
